YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	242	1.610	1.56	107.38	-2.23	111.84	31.59
1998	243	1.611	1.57	107.84	-2.28	98.12	32.05
1998	244	1.612	1.58	108.31	-2.32	84.40	32.52
1998	245	1.613	1.59	108.78	-2.36	70.67	32.98
1998	246	1.614	1.60	109.24	-2.40	56.95	33.45
1998	247	1.614	1.60	109.71	-2.44	43.23	33.91
1998	248	1.615	1.61	110.17	-2.48	29.50	34.38
1998	249	1.616	1.62	110.64	-2.52	15.78	34.84
1998	250	1.617	1.62	111.10	-2.56	2.05	35.30
1998	251	1.618	1.63	111.56	-2.60	348.39	35.76
1998	252	1.619	1.64	112.03	-2.64	334.66	36.22
1998	253	1.620	1.65	112.49	-2.68	320.93	36.68
1998	254	1.621	1.65	112.95	-2.72	307.21	37.14
1998	255	1.622	1.66	113.41	-2.76	293.48	37.60
1998	256	1.623	1.67	113.87	-2.80	279.75	38.06
1998	257	1.624	1.67	114.33	-2.84	266.02	38.52
1998	258	1.624	1.68	114.79	-2.88	252.29	38.98
1998	259	1.625	1.68	115.25	-2.92	238.56	39.44
1998	260	1.626	1.69	115.71	-2.96	224.83	39.90
1998	261	1.627	1.70	116.17	-3.00	211.10	40.35
1998	262	1.628	1.70	116.62	-3.04	197.37	40.81
1998	263	1.629	1.71	117.08	-3.07	183.64	41.27
1998	264	1.629	1.71	117.54	-3.11	169.91	41.72
1998	265	1.630	1.72	118.00	-3.15	156.18	42.18
1998	266	1.631	1.72	118.45	-3.18	142.44	42.63
1998	267	1.632	1.73	118.91	-3.22	128.71	43.09
1998	268	1.633	1.74	119.36	-3.26	114.98	43.54
1998	269	1.633	1.74	119.82	-3.29	101.24	43.99
1998	270	1.634	1.75	120.27	-3.33	87.51	44.45
1998	271	1.635	1.75	120.72	-3.37	73.84	44.90
1998	272	1.636	1.75	121.18	-3.40	60.10	45.35
1998	273	1.636	1.76	121.63	-3.44	46.37	45.80
1998	274	1.637	1.76	122.08	-3.47	32.63	46.26
1998	275	1.638	1.77	122.54	-3.51	18.90	46.71
1998	276	1.639	1.77	122.99	-3.54	5.16	47.16
1998	277	1.639	1.78	123.44	-3.58	351.42	47.61
1998	278	1.640	1.78	123.89	-3.61	337.68	48.06
1998	279	1.641	1.78	124.34	-3.64	323.95	48.51
1998	280	1.641	1.79	124.79	-3.68	310.21	48.96
1998	281	1.642	1.79	125.24	-3.71	296.47	49.41
1998	282	1.643	1.80	125.69	-3.74	282.73	49.86
1998	283	1.643	1.80	126.14	-3.78	268.99	50.31
1998	284	1.644	1.80	126.59	-3.81	255.25	50.75
1998	285	1.645	1.81	127.03	-3.84	241.51	51.20
1998	286	1.645	1.81	127.48	-3.87	227.77	51.65
1998	287	1.646	1.81	127.93	-3.91	214.03	52.10
1998	288	1.647	1.81	128.38	-3.94	200.29	52.54
1998	289	1.647	1.82	128.82	-3.97	186.55	52.99
1998	290	1.648	1.82	129.27	-4.00	172.81	53.44
1998	291	1.648	1.82	129.72	-4.03	159.13	53.88
1998	292	1.649	1.82	130.16	-4.06	145.39	54.33
1998	293	1.650	1.83	130.61	-4.09	131.65	54.77
1998	294	1.650	1.83	131.06	-4.12	117.91	55.22
1998	295	1.651	1.83	131.50	-4.15	104.17	55.67
1998	296	1.651	1.83	131.94	-4.18	90.42	56.11
1998	297	1.652	1.83	132.39	-4.21	76.68	56.55
1998	298	1.652	1.84	132.83	-4.24	62.94	57.00
1998	299	1.653	1.84	133.28	-4.27	49.19	57.44
1998	300	1.653	1.84	133.72	-4.30	35.45	57.89
1998	301	1.654	1.84	134.16	-4.32	21.70	58.33
1998	302	1.654	1.84	134.61	-4.35	7.96	58.77
1998	303	1.655	1.84	135.05	-4.38	354.22	59.22
1998	304	1.655	1.84	135.49	-4.41	340.47	59.66
1998	305	1.656	1.85	135.94	-4.43	326.73	60.10
1998	306	1.656	1.85	136.38	-4.46	312.98	60.54
1998	307	1.656	1.85	136.82	-4.49	299.24	60.99
1998	308	1.657	1.85	137.26	-4.51	285.49	61.43
1998	309	1.657	1.85	137.70	-4.54	271.74	61.87
1998	310	1.658	1.85	138.14	-4.56	258.00	62.31
1998	311	1.658	1.85	138.58	-4.59	244.32	62.75
1998	312	1.659	1.85	139.03	-4.62	230.57	63.19
1998	313	1.659	1.85	139.47	-4.64	216.82	63.63
1998	314	1.659	1.85	139.91	-4.66	203.08	64.08
1998	315	1.660	1.85	140.35	-4.69	189.33	64.52
1998	316	1.660	1.85	140.79	-4.71	175.58	64.96
1998	317	1.660	1.85	141.23	-4.74	161.83	65.40
1998	318	1.661	1.85	141.67	-4.76	148.09	65.84
1998	319	1.661	1.85	142.11	-4.78	134.34	66.28
1998	320	1.661	1.85	142.54	-4.81	120.59	66.72
1998	321	1.662	1.85	142.98	-4.83	106.84	67.16
1998	322	1.662	1.85	143.42	-4.85	93.10	67.60
1998	323	1.662	1.84	143.86	-4.87	79.35	68.04
1998	324	1.662	1.84	144.30	-4.89	65.60	68.48
1998	325	1.663	1.84	144.74	-4.91	51.85	68.92
1998	326	1.663	1.84	145.18	-4.94	38.10	69.35
1998	327	1.663	1.84	145.61	-4.96	24.36	69.79
1998	328	1.663	1.84	146.05	-4.98	10.61	70.23
1998	329	1.664	1.84	146.49	-5.00	356.86	70.67
1998	330	1.664	1.83	146.93	-5.02	343.11	71.11
1998	331	1.664	1.83	147.37	-5.04	329.42	71.55
1998	332	1.664	1.83	147.80	-5.05	315.67	71.99
1998	333	1.664	1.83	148.24	-5.07	301.93	72.43
1998	334	1.665	1.83	148.68	-5.09	288.18	72.86
